place_name,category,cost_category,suitable_for,duration_hours,timing,destination_city
Marina Beach,Nature Lover / Relaxation Lover / Romantic Couple,Budget,Couple / Family,2,06:00-18:00,Chennai
Elliot's Beach,Nature Lover / Relaxation Lover / Budget Backpacker,Budget,Just Me / Family,2,06:00-18:00,Chennai
Besant Nagar Beach,Nature Lover / Relaxation Lover / Foodie,Budget,Just Me / Family,2,06:00-18:00,Chennai
Thiruvanmiyur Beach,Nature Lover / Relaxation Lover,Budget,Family,2,06:00-18:00,Chennai
Covelong Beach,Adventure Seeker / Nature Lover,Budget,Just Me / Family,2,06:00-18:00,Chennai
Neelankarai Beach,Nature Lover / Relaxation Lover,Budget,Family,2,06:00-18:00,Chennai
Breezy Beach,Nature Lover / Relaxation Lover / Romantic Couple,Budget,Family,2,06:00-18:00,Chennai
Palavakkam Beach,Nature Lover / Relaxation Lover,Budget,Family,2,06:00-18:00,Chennai
Injambakkam Beach,Nature Lover / Relaxation Lover,Budget,Family,2,06:00-18:00,Chennai
Santhome Beach,Nature Lover / Relaxation Lover / Budget Backpacker,Budget,Just Me / Family,2,06:00-18:00,Chennai
Olcott Memorial Beach,Nature Lover / Relaxation Lover,Budget,Couple / Family,2,06:00-18:00,Chennai
Broken Bridge Beach,Adventure Seeker / Nature Lover,Budget,Just Me / Family,2,06:00-18:00,Chennai
Bharathi Nagar Beach,Nature Lover / Relaxation Lover,Budget,Family,2,06:00-18:00,Chennai
Kapaleeshwarar Temple,Culture Seeker / Spiritual Traveler,Mid-range,Family,1,06:00-20:00,Chennai
Parthasarathy Temple,Culture Seeker / Spiritual Traveler,Mid-range,Family,1,05:00-19:00,Chennai
Vadapalani Murugan Temple,Spiritual Traveler / Culture Seeker,Mid-range,Family,1,05:00-20:00,Chennai
Ashtalakshmi Temple,Spiritual Traveler / Culture Seeker,Mid-range,Couple / Family,2,06:00-20:00,Chennai
Marundeeswarar Temple,Spiritual Traveler / Culture Seeker,Budget,Family,2,06:00-20:00,Chennai
Shirdi Sai Baba Temple,Spiritual Traveler / Relaxation Lover,Budget,Couple / Family,1,05:30-21:00,Chennai
Kandaswamy Temple,Spiritual Traveler / Culture Seeker,Mid-range,Family,1,05:30-21:00,Chennai
Adyar Shiva Temple,Spiritual Traveler / Culture Seeker,Budget,Couple / Family,1,05:30-21:00,Chennai
Thiruvalluvar Temple,Spiritual Traveler / Culture Seeker,Budget,Family,1,06:00-20:00,Chennai
Kalikambal Temple,Spiritual Traveler / Culture Seeker,Mid-range,Couple / Family,1,05:00-20:00,Chennai
Mahabalipuram Shore Temple,Culture Seeker / Spiritual Traveler,Budget,Family,1,05:00-19:00,Chennai
Santhome Cathedral Basilica,Culture Seeker / Spiritual Traveler,Budget,Family,1,06:00-19:00,Chennai
San Thome Church,Culture Seeker / Spiritual Traveler,Budget,Family,1,06:00-19:00,Chennai
Luz Church,Culture Seeker / Spiritual Traveler,Budget,Couple / Family,1,06:00-19:00,Chennai
St. Mary's Church,Culture Seeker / Spiritual Traveler,Budget,Couple / Family,1,06:00-19:00,Chennai
Fort St. George Museum,Culture Seeker / Budget Backpacker,Budget,Just Me / Couple,2,09:30-17:00,Chennai
Government Museum,Culture Seeker / Budget Backpacker,Mid-range,Just Me / Couple,2,09:30-17:00,Chennai
DakshinaChitra Museum,Culture Seeker / Family Planner,Mid-range,Just Me / Couple,3,10:00-18:00,Chennai
Gandhi Mandapam,Culture Seeker / Budget Backpacker,Budget,Family,2,09:30-17:00,Chennai
Vivekananda House,Culture Seeker / Spiritual Traveler,Budget,Just Me / Couple,2,10:00-18:00,Chennai
Birla Planetarium,Family Planner / Culture Seeker,Budget,Couple / Family,3,09:30-17:00,Chennai
Egmore Museum Complex,Culture Seeker / Budget Backpacker,Mid-range,Family,2,09:00-17:00,Chennai
Ayurveda College Museum,Culture Seeker / Relaxation Lover,Budget,Couple / Family,2,09:30-17:00,Chennai
Guindy National Park,Nature Lover / Family Planner,Mid-range,Family,2,08:30-17:00,Chennai
Semmozhi Poonga,Nature Lover / Relaxation Lover,Budget,Family,2,10:00-20:00,Chennai
Nageswara Rao Park,Nature Lover / Family Planner,Mid-range,Family,2,09:00-17:30,Chennai
Theosophical Society,Nature Lover / Relaxation Lover / Spiritual Traveler,Mid-range,Family,2,10:00-20:00,Chennai
